doc,sentence,word,pos,prev,next,tag
doc: 13a5421c5a5de3dc125a2fd01278a5bb,sentence: 0000001,PUTUSAN,PROPN,.,.,O
,,.,PUNCT,PUTUSAN,NOMOR,O
,,NOMOR,PROPN,.,:,O
,,:,PUNCT,NOMOR,1974,O
,,1974,NUM,:,/,B_VERN
,,/,PUNCT,1974,Pid,I_VERN
,,Pid,PROPN,/,.,I_VERN
,,.,PUNCT,Pid,Sus,I_VERN
,,Sus,PROPN,.,/,I_VERN
,,/,PUNCT,Sus,2012,I_VERN
,,2012,NUM,/,/,I_VERN
,,/,PUNCT,2012,PN,I_VERN
,,PN,PROPN,/,.,I_VERN
,,.,PUNCT,PN,JKT,I_VERN
,,JKT,PROPN,.,.,I_VERN
,,.,PUNCT,JKT,BAR,I_VERN
,,BAR,PROPN,.,.,I_VERN
,,.,PUNCT,BAR,DEMI,I_VERN
,,DEMI,PUNCT,.,KEADILAN,O
,,KEADILAN,PROPN,DEMI,BERDASARKAN,O
,,BERDASARKAN,ADV,KEADILAN,KETUHANAN,O
,,KETUHANAN,PROPN,BERDASARKAN,YANG,O
,,YANG,PRON,KETUHANAN,MAHA,O
,,MAHA,PROPN,YANG,ESA,O
,,ESA,PROPN,MAHA,.,O
,,.,PUNCT,ESA,Pengadilan,O
,sentence: 0000002,Pengadilan,PROPN,.,Negeri,O
,,Negeri,PROPN,Pengadilan,Jakarta,O
,,Jakarta,PROPN,Negeri,Barat,O
,,Barat,PROPN,Jakarta,yang,O
,,yang,PRON,Barat,memeriksa,O
,,memeriksa,VERB,yang,dan,O
,,dan,CCONJ,memeriksa,mengadili,O
,,mengadili,VERB,dan,perkara,O
,,perkara,NOUN,mengadili,-,O
,,-,PUNCT,perkara,perkara,O
,,perkara,NOUN,-,pidana,O
,,pidana,NOUN,perkara,dalam,O
,,dalam,ADP,pidana,peradilan,O
,,peradilan,NOUN,dalam,tingkat,O
,,tingkat,NOUN,peradilan,pertama,O
,,pertama,ADJ,tingkat,dengan,O
,,dengan,ADV,pertama,acara,O
,,acara,NOUN,dengan,biasa,O
,,biasa,ADV,acara,telah,O
,,telah,AUX,biasa,menjatuhkan,O
,,menjatuhkan,VERB,telah,putusan,O
,,putusan,NOUN,menjatuhkan,sebagai,O
,,sebagai,ADV,putusan,berikut,O
,,berikut,ADV,sebagai,atas,O
,,atas,ADP,berikut,nama,O
,,nama,NOUN,atas,terdakwa,O
,,terdakwa,PROPN,nama,:,O
,,:,PUNCT,terdakwa,AGNES,O
,sentence: 0000003,AGNES,PROPN,:,TRI,B_DEFN
,,TRI,PROPN,AGNES,AHADI,I_DEFN
,,AHADI,PROPN,TRI,Als,I_DEFN
,,Als,PROPN,AHADI,ANAS,I_DEFN
,,ANAS,PROPN,Als,",",I_DEFN
,,",",PUNCT,ANAS,lahir,I_DEFN
,,lahir,VERB,",",di,O
,,di,ADP,lahir,Jakarta,O
,,Jakarta,PROPN,di,",",O
,,",",PUNCT,Jakarta,umur,O
,,umur,NOUN,",",/,O
,,/,PUNCT,umur,tanggal,O
,,tanggal,NOUN,/,",",O
,,",",PUNCT,tanggal,30,O
,,30,NUM,",",tahun,O
,,tahun,NOUN,30,/,O
,,/,PUNCT,tahun,8,O
,,8,NUM,/,Agustus,O
,,Agustus,PROPN,8,1982,O
,,1982,NUM,Agustus,",",O
,,",",PUNCT,1982,jenis,O
,,jenis,NOUN,",",kelamin,O
,,kelamin,NOUN,jenis,laki,O
,,laki,NOUN,kelamin,-,O
,,-,PUNCT,laki,laki,O
,,laki,NOUN,-,",",O
,,",",PUNCT,laki,kebangsaan,O
,,kebangsaan,PROPN,",",Indonesia,O
,,Indonesia,PROPN,kebangsaan,",",O
,,",",PUNCT,Indonesia,tempat,O
,,tempat,NOUN,",",tinggal,O
,,tinggal,ADV,tempat,Jl,O
,,Jl,PROPN,tinggal,.,O
,,.,PUNCT,Jl,Kamp,O
,,Kamp,PROPN,.,.,O
,,.,PUNCT,Kamp,Bali,O
,,Bali,PROPN,.,Gg,O
,,Gg,PROPN,Bali,.,O
,,.,PUNCT,Gg,II,O
,,II,NUM,.,.,O
,,.,PUNCT,II,No,O
,,No,PROPN,.,.,O
,,.,PUNCT,No,5,O
,,5,NUM,.,Kel,O
,,Kel,PROPN,5,.,O
,,.,PUNCT,Kel,Kampung,O
,,Kampung,PROPN,.,Bali,O
,,Bali,PROPN,Kampung,Kec,O
,,Kec,PROPN,Bali,.,O
,,.,PUNCT,Kec,Tanah,O
,,Tanah,PROPN,.,Abang,O
,,Abang,PROPN,Tanah,Jakarta,O
,,Jakarta,PROPN,Abang,Pusat,O
,,Pusat,PROPN,Jakarta,Terdakwa,O
,,Terdakwa,PROPN,Pusat,ditahan,O
,,ditahan,VERB,Terdakwa,sejak,O
,,sejak,ADV,ditahan,tanggal,O
,,tanggal,NOUN,sejak,27,O
,,27,NUM,tanggal,Juli,O
,,Juli,PROPN,27,2012,O
,,2012,NUM,Juli,sampai,O
,,sampai,ADV,2012,sekarang,O
,,sekarang,ADV,sampai,;,O
,,;,PUNCT,sekarang,Terdakwa,O
,sentence: 0000004,Terdakwa,PROPN,;,menolak,O
,,menolak,VERB,Terdakwa,didampingi,O
,,didampingi,VERB,menolak,oleh,O
,,oleh,ADP,didampingi,Penasehat,O
,,Penasehat,PROPN,oleh,Hukum,O
,,Hukum,PROPN,Penasehat,;,O
,,;,PUNCT,Hukum,Pengadilan,O
,sentence: 0000005,Pengadilan,PROPN,;,Negeri,O
,,Negeri,PROPN,Pengadilan,tersebut,O
,,tersebut,DET,Negeri,;,O
,,;,PUNCT,tersebut,Setelah,O
,sentence: 0000006,Setelah,ADV,;,membaca,O
,,membaca,VERB,Setelah,berkas,O
,,berkas,NOUN,membaca,perkara,O
,,perkara,NOUN,berkas,;,O
,,;,PUNCT,perkara,Setelah,O
,sentence: 0000007,Setelah,ADV,;,mendengar,O
,,mendengar,VERB,Setelah,keterangan,O
,,keterangan,NOUN,mendengar,saksi,O
,,saksi,NOUN,keterangan,-,O
,,-,PUNCT,saksi,saksi,O
,,saksi,NOUN,-,dan,O
,,dan,CCONJ,saksi,terdakwa,O
,,terdakwa,PROPN,dan,dipersidangan,O
,,dipersidangan,ADV,terdakwa,;,O
,,;,PUNCT,dipersidangan,Setelah,O
,sentence: 0000008,Setelah,ADV,;,mendengar,O
,,mendengar,VERB,Setelah,tuntutan,O
,,tuntutan,NOUN,mendengar,pidana,O
,,pidana,NOUN,tuntutan,dari,O
,,dari,ADP,pidana,Jaksa,O
,,Jaksa,PROPN,dari,Penuntut,O
,,Penuntut,PROPN,Jaksa,Umum,O
,,Umum,PROPN,Penuntut,tertanggal,O
,,tertanggal,PROPN,Umum,9,O
,,9,NUM,tertanggal,Januari,O
,,Januari,PROPN,9,2013,O
,,2013,NUM,Januari,",",O
,,",",PUNCT,2013,yang,O
,,yang,PRON,",",pada,O
,,pada,ADP,yang,pokoknya,O
,,pokoknya,ADV,pada,agar,O
,,agar,SCONJ,pokoknya,Pengadilan,O
,,Pengadilan,PROPN,agar,Negeri,O
,,Negeri,PROPN,Pengadilan,Jakarta,O
,,Jakarta,PROPN,Negeri,Barat,O
,,Barat,PROPN,Jakarta,berkenan,O
,,berkenan,ADV,Barat,memutuskan,O
,,memutuskan,ADV,berkenan,sebagai,O
,,sebagai,ADV,memutuskan,berikut,O
,,berikut,ADV,sebagai,:,O
,,:,PUNCT,berikut,MENUNTUT,O
,sentence: 0000009,MENUNTUT,VERB,:,:,O
,,:,PUNCT,MENUNTUT,1,O
,,1,NUM,:,Menyatakan,O
,,Menyatakan,ADV,1,terdakwa,O
,,terdakwa,PROPN,Menyatakan,AGNES,O
,,AGNES,PROPN,terdakwa,TRI,B_DEFN
,,TRI,PROPN,AGNES,AHADI,I_DEFN
,,AHADI,PROPN,TRI,Als,I_DEFN
,,Als,PROPN,AHADI,AGNES,I_DEFN
,,AGNES,PROPN,Als,telah,I_DEFN
,,telah,AUX,AGNES,terbukti,O
,,terbukti,ADV,telah,secara,O
,,secara,ADV,terbukti,sah,O
,,sah,ADJ,secara,dan,O
,,dan,CCONJ,sah,meyakinkan,O
,,meyakinkan,VERB,dan,bersalah,O
,,bersalah,ADJ,meyakinkan,melakukan,O
,,melakukan,VERB,bersalah,tindak,O
,,tindak,NOUN,melakukan,pidana,O
,,pidana,NOUN,tindak,Narkotika,O
,,Narkotika,PROPN,pidana,memiliki,B_CRIA
,,memiliki,VERB,Narkotika,",",O
,,",",PUNCT,memiliki,menyimpan,O
,,menyimpan,VERB,",",",",O
,,",",PUNCT,menyimpan,menguasai,O
,,menguasai,VERB,",",",",O
,,",",PUNCT,menguasai,atau,O
,,atau,CCONJ,",",menyediakan,O
,,menyediakan,VERB,atau,Narkotika,O
,,Narkotika,PROPN,menyediakan,golongan,O
,,golongan,NOUN,Narkotika,I,O
,,I,NUM,golongan,bukan,O
,,bukan,PART,I,tanaman,O
,,tanaman,NOUN,bukan,sebagaimana,O
,,sebagaimana,ADV,tanaman,didakwakan,O
,,didakwakan,VERB,sebagaimana,dalam,O
,,dalam,ADP,didakwakan,dakwaan,O
,,dakwaan,NOUN,dalam,kedua,O
,,kedua,ADJ,dakwaan,yaitu,O
,,yaitu,ADV,kedua,melanggar,O
,,melanggar,VERB,yaitu,ketentuan,O
,,ketentuan,NOUN,melanggar,unsure,O
,,unsure,NOUN,ketentuan,pasal,O
,,pasal,NOUN,unsure,112,B_ARTV
,,112,NUM,pasal,ayat,I_ARTV
,,ayat,NOUN,112,(,I_ARTV
,,(,PUNCT,ayat,1,I_ARTV
,,1,NUM,(,),I_ARTV
,,),PUNCT,1,UURI,I_ARTV
,,UURI,PROPN,),No,I_ARTV
,,No,PROPN,UURI,.,I_ARTV
,,.,PUNCT,No,35,I_ARTV
,,35,NUM,.,tahun,I_ARTV
,,tahun,NOUN,35,2009,I_ARTV
,,2009,NUM,tahun,tentang,I_ARTV
,,tentang,ADP,2009,Narkotika,I_ARTV
,,Narkotika,PROPN,tentang,;,I_ARTV
,,;,PUNCT,Narkotika,2,O
,sentence: 0000010,2,NUM,;,Menjatuhkan,O
,,Menjatuhkan,VERB,2,pidana,O
,,pidana,NOUN,Menjatuhkan,terhadap,O
,,terhadap,ADV,pidana,terdakwa,O
,,terdakwa,PROPN,terhadap,DERRY,O
,,DERRY,PROPN,terdakwa,SUSANTO,B_DEFN
,,SUSANTO,PROPN,DERRY,Als,I_DEFN
,,Als,PROPN,SUSANTO,YANTO,I_DEFN
,,YANTO,PROPN,Als,",",I_DEFN
,,",",PUNCT,YANTO,dengan,O
,,dengan,ADV,",",pidana,O
,,pidana,NOUN,dengan,penjara,O
,,penjara,NOUN,pidana,selama,O
,,selama,ADV,penjara,5,O
,,5,NUM,selama,(,B_PENA
,,(,PUNCT,5,lima,I_PENA
,,lima,NUM,(,),I_PENA
,,),PUNCT,lima,tahun,I_PENA
,,tahun,NOUN,),dan,I_PENA
,,dan,CCONJ,tahun,3,I_PENA
,,3,NUM,dan,(,I_PENA
,,(,PUNCT,3,tiga,I_PENA
,,tiga,NUM,(,),I_PENA
,,),PUNCT,tiga,bulan,I_PENA
,,bulan,NOUN,),dikurangi,I_PENA
,,dikurangi,ADV,bulan,selama,O
,,selama,ADV,dikurangi,terdakwa,O
,,terdakwa,PROPN,selama,berada,O
,,berada,VERB,terdakwa,dalam,O
,,dalam,ADP,berada,tahanan,O
,,tahanan,NOUN,dalam,sementara,O
,,sementara,ADV,tahanan,dan,O
,,dan,CCONJ,sementara,pidana,O
,,pidana,NOUN,dan,dendasebesar,O
,,dendasebesar,PUNCT,pidana,Rp,O
,,Rp,SYM,dendasebesar,.,O
,,.,PUNCT,Rp,800,O
,,800,NUM,.,.,O
,,.,PUNCT,800,0,O
,,0,NUM,.,.,O
,,.,PUNCT,0,0,O
,,0,NUM,.,",",O
,,",",PUNCT,0,0,O
,,0,NUM,",",",",O
,,",",PUNCT,0,-,O
,,-,PUNCT,",",(,O
,,(,PUNCT,-,delapan,O
,,delapan,NUM,(,ratus,O
,,ratus,NUM,delapan,ribu,O
,,ribu,NUM,ratus,rupiah,O
,,rupiah,PROPN,ribu,),O
,,),PUNCT,rupiah,subsidair,O
,,subsidair,ADV,),4,O
,,4,NUM,subsidair,(,O
,,(,PUNCT,4,empat,O
,,empat,NUM,(,),O
,,),PUNCT,empat,bulan,O
,,bulan,NOUN,),1penjara,O
,,1penjara,PUNCT,bulan,;,O
,,;,PUNCT,1penjara,3,O
,sentence: 0000011,3,NUM,;,Menyatakan,O
,,Menyatakan,ADV,3,barang,O
,,barang,NOUN,Menyatakan,bukti,O
,,bukti,NOUN,barang,berupa,O
,,berupa,ADV,bukti,:,O
,,:,PUNCT,berupa,2,O
,sentence: 0000012,2,NUM,:,(,O
,,(,PUNCT,2,dua,O
,,dua,NUM,(,),O
,,),PUNCT,dua,bungkus,O
,,bungkus,ADV,),plastic,O
,,plastic,PROPN,bungkus,berisikan,O
,,berisikan,VERB,plastic,Kristal,O
,,Kristal,PROPN,berisikan,warna,O
,,warna,NOUN,Kristal,putih,O
,,putih,ADJ,warna,kecoklatan,O
,,kecoklatan,ADJ,putih,dengan,O
,,dengan,ADV,kecoklatan,berat,O
,,berat,ADJ,dengan,netto,O
,,netto,PROPN,berat,setelah,O
,,setelah,ADV,netto,pemeriksaan,O
,,pemeriksaan,NOUN,setelah,0,O
,,0,NUM,pemeriksaan,",",O
,,",",PUNCT,0,478,O
,,478,NUM,",",gram,O
,,gram,NOUN,478,dirampas,O
,,dirampas,VERB,gram,untuk,O
,,untuk,SCONJ,dirampas,dimusnahkan,O
,,dimusnahkan,ADV,untuk,;,O
,,;,PUNCT,dimusnahkan,4,O
,sentence: 0000013,4,NUM,;,Menetapkan,O
,,Menetapkan,VERB,4,agar,O
,,agar,SCONJ,Menetapkan,terdakwa,O
,,terdakwa,PROPN,agar,dibebani,O
,,dibebani,ADV,terdakwa,biaya,O
,,biaya,NOUN,dibebani,perkara,O
,,perkara,NOUN,biaya,sebesar,O
,,sebesar,ADV,perkara,Rp,O
,,Rp,SYM,sebesar,.,O
,,.,PUNCT,Rp,2,O
,,2,NUM,.,.,O
,,.,PUNCT,2,0,O
,,0,NUM,.,",",O
,,",",PUNCT,0,-,O
,,-,PUNCT,",",(,O
,,(,PUNCT,-,dua,O
,,dua,NUM,(,ribu,O
,,ribu,NUM,dua,rupiah,O
,,rupiah,PROPN,ribu,),O
,,),PUNCT,rupiah,;,O
,,;,PUNCT,),Telah,O
,sentence: 0000014,Telah,AUX,;,mendengar,O
,,mendengar,VERB,Telah,pembelaan,O
,,pembelaan,NOUN,mendengar,dari,O
,,dari,ADP,pembelaan,terdakwa,O
,,terdakwa,PROPN,dari,dan,O
,,dan,CCONJ,terdakwa,terdakwa,O
,,terdakwa,PROPN,dan,yang,O
,,yang,PRON,terdakwa,pada,O
,,pada,ADP,yang,pokoknya,O
,,pokoknya,ADV,pada,:,O
,,:,PUNCT,pokoknya,Memohon,O
,sentence: 0000015,Memohon,PROPN,:,keringanan,O
,,keringanan,NOUN,Memohon,hukuman,O
,,hukuman,NOUN,keringanan,dari,O
,,dari,ADP,hukuman,tuntutan,O
,,tuntutan,NOUN,dari,Penuntut,O
,,Penuntut,PROPN,tuntutan,Umum,O
,,Umum,PROPN,Penuntut,;,O
,,;,PUNCT,Umum,Terdakwa,O
,sentence: 0000016,Terdakwa,PROPN,;,adalah,O
,,adalah,AUX,Terdakwa,sebagai,O
,,sebagai,ADV,adalah,tulang,O
,,tulang,NOUN,sebagai,punggung,O
,,punggung,NOUN,tulang,keluarga,O
,,keluarga,NOUN,punggung,;,O
,,;,PUNCT,keluarga,Menimbang,O
,sentence: 0000017,Menimbang,ADV,;,",",O
,,",",PUNCT,Menimbang,bahwa,O
,,bahwa,SCONJ,",",terdakwa,O
,,terdakwa,PROPN,bahwa,didakwa,O
,,didakwa,VERB,terdakwa,dengan,O
,,dengan,ADV,didakwa,surat,O
,,surat,NOUN,dengan,dakwaan,O
,,dakwaan,NOUN,surat,Jaksa,O
,,Jaksa,PROPN,dakwaan,Penuntut,O
,,Penuntut,PROPN,Jaksa,Umum,O
,,Umum,PROPN,Penuntut,melanggar,O
,,melanggar,VERB,Umum,pasal,O
,,pasal,NOUN,melanggar,114,B_ARTV
,,114,NUM,pasal,ayat,I_ARTV
,,ayat,NOUN,114,(,I_ARTV
,,(,PUNCT,ayat,1,I_ARTV
,,1,NUM,(,),I_ARTV
,,),PUNCT,1,UU,I_ARTV
,,UU,PROPN,),RI,I_ARTV
,,RI,PROPN,UU,No,I_ARTV
,,No,PROPN,RI,.,I_ARTV
,,.,PUNCT,No,35,I_ARTV
,,35,NUM,.,tahun,I_ARTV
,,tahun,NOUN,35,2009,I_ARTV
,,2009,NUM,tahun,",",I_ARTV
,,",",PUNCT,2009,jo,I_ARTV
,,jo,PROPN,",",pasal,I_ARTV
,,pasal,NOUN,jo,112,I_ARTV
,,112,NUM,pasal,ayat,I_ARTV
,,ayat,NOUN,112,(,I_ARTV
,,(,PUNCT,ayat,1,I_ARTV
,,1,NUM,(,),I_ARTV
,,),PUNCT,1,UU,I_ARTV
,,UU,PROPN,),RI,I_ARTV
,,RI,PROPN,UU,No,I_ARTV
,,No,PROPN,RI,.,I_ARTV
,,.,PUNCT,No,35,I_ARTV
,,35,NUM,.,tahun,I_ARTV
,,tahun,NOUN,35,2009,I_ARTV
,,2009,NUM,tahun,",",I_ARTV
,,",",PUNCT,2009,tentang,I_ARTV
,,tentang,ADP,",",Narkotika,I_ARTV
,,Narkotika,PROPN,tentang,adalah,I_ARTV
,,adalah,AUX,Narkotika,sebagai,O
,,sebagai,ADV,adalah,berikut,O
,,berikut,ADV,sebagai,:,O
,,:,PUNCT,berikut,Dakwaan,O
,sentence: 0000018,Dakwaan,PROPN,:,;,O
,,;,PUNCT,Dakwaan,Kesatu,O
,sentence: 0000019,Kesatu,PROPN,;,:,O
,,:,PUNCT,Kesatu,Bahwa,O
,sentence: 0000020,Bahwa,SCONJ,:,ia,O
,,ia,PRON,Bahwa,terdakwa,O
,,terdakwa,PROPN,ia,Agnes,O
,,Agnes,PROPN,terdakwa,Tri,B_DEFN
,,Tri,PROPN,Agnes,Ahadi,I_DEFN
,,Ahadi,PROPN,Tri,Als,I_DEFN
,,Als,PROPN,Ahadi,Anas,I_DEFN
,,Anas,PROPN,Als,",",I_DEFN
,,",",PUNCT,Anas,pada,O
,,pada,ADP,",",hari,O
,,hari,NOUN,pada,Selasa,O
,,Selasa,PROPN,hari,tanggal,O
,,tanggal,NOUN,Selasa,24,O
,,24,NUM,tanggal,Juli,O
,,Juli,PROPN,24,2012,O
,,2012,NUM,Juli,",",O
,,",",PUNCT,2012,sekitar,O
,,sekitar,ADV,",",pukul,O
,,pukul,NOUN,sekitar,19,O
,,19,NUM,pukul,.,O
,,.,PUNCT,19,0,O
,,0,NUM,.,wib,O
,,wib,PROPN,0,atau,O
,,atau,CCONJ,wib,setidak,O
,,setidak,ADV,atau,-,O
,,-,PUNCT,setidak,tidaknya,O
,,tidaknya,ADV,-,pada,O
,,pada,ADP,tidaknya,suatu,O
,,suatu,DET,pada,waktu,O
,,waktu,NOUN,suatu,masih,O
,,masih,ADV,waktu,bulan,O
